sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
520,9.019 775 391,"main","syscall","name=uart_poll_out",295560,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5785,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
521,9.019 866 943,"main","syscall","Returns after 91.553 us",295563,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5803,5,1C 02 A2 01 03 
522,9.019 866 943,"main","syscall","name=uart_poll_out",295563,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5808,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
523,9.019 958 496,"main","syscall","Returns after 91.553 us",295566,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5826,5,1C 02 A2 01 03 
524,9.019 958 496,"main","syscall","name=uart_poll_out",295566,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5831,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
525,9.020 050 049,"main","syscall","Returns after 91.553 us",295569,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5849,5,1C 02 A2 01 03 
526,9.020 050 049,"main","syscall","name=uart_poll_out",295569,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5854,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
527,9.020 111 084,"main","syscall","Returns after 61.035 us",295571,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5872,5,1C 02 A2 01 02 
528,9.020 141 602,"main","syscall","name=uart_poll_out",295572,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5877,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
529,9.020 202 637,"main","syscall","Returns after 61.035 us",295574,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5895,5,1C 02 A2 01 02 
530,9.020 233 154,"main","syscall","name=uart_poll_out",295575,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5900,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
531,9.020 294 189,"main","syscall","Returns after 61.035 us",295577,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5918,5,1C 02 A2 01 02 
532,9.020 294 189,"main","syscall","name=uart_poll_out",295577,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5923,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
533,9.020 385 742,"main","syscall","Returns after 91.553 us",295580,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5941,5,1C 02 A2 01 03 
534,9.020 385 742,"main","syscall","name=uart_poll_out",295580,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5946,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
535,9.020 477 295,"main","syscall","Returns after 91.553 us",295583,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5964,5,1C 02 A2 01 03 
536,9.020 477 295,"main","syscall","name=uart_poll_out",295583,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5969,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
537,9.020 568 848,"main","syscall","Returns after 91.553 us",295586,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5987,5,1C 02 A2 01 03 
538,9.020 568 848,"main","syscall","name=uart_poll_out",295586,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5992,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
539,9.020 660 400,"main","syscall","Returns after 91.553 us",295589,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6010,5,1C 02 A2 01 03 
540,9.020 660 400,"main","syscall","name=uart_poll_out",295589,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6015,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
541,9.020 721 436,"main","syscall","Returns after 61.035 us",295591,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6033,5,1C 02 A2 01 02 
542,9.020 751 953,"main","syscall","name=uart_poll_out",295592,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6038,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
543,9.020 812 988,"main","syscall","Returns after 61.035 us",295594,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6056,5,1C 02 A2 01 02 
544,9.020 843 506,"main","syscall","name=uart_poll_out",295595,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6061,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
545,9.020 904 541,"main","syscall","Returns after 61.035 us",295597,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6079,5,1C 02 A2 01 02 
546,9.020 904 541,"main","syscall","name=uart_poll_out",295597,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6084,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
547,9.020 996 094,"main","syscall","Returns after 91.553 us",295600,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6102,5,1C 02 A2 01 03 
548,9.020 996 094,"main","syscall","name=uart_poll_out",295600,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6107,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
549,9.021 087 646,"main","syscall","Returns after 91.553 us",295603,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6125,5,1C 02 A2 01 03 
550,9.021 087 646,"main","syscall","name=uart_poll_out",295603,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6130,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
551,9.021 179 199,"main","syscall","Returns after 91.553 us",295606,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6148,5,1C 02 A2 01 03 
552,9.021 179 199,"main","syscall","name=uart_poll_out",295606,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6153,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
553,9.021 270 752,"main","syscall","Returns after 91.553 us",295609,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6171,5,1C 02 A2 01 03 
554,9.021 270 752,"main","syscall","name=uart_poll_out",295609,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6176,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
555,9.021 362 305,"main","syscall","Returns after 91.553 us",295612,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6194,5,1C 02 A2 01 03 
556,9.021 362 305,"main","syscall","name=uart_poll_out",295612,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6199,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
557,9.021 423 340,"main","syscall","Returns after 61.035 us",295614,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6217,5,1C 02 A2 01 02 
558,9.021 453 857,"main","syscall","name=uart_poll_out",295615,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6222,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
559,9.021 514 893,"main","syscall","Returns after 61.035 us",295617,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6240,5,1C 02 A2 01 02 
560,9.021 545 410,"main","syscall","name=uart_poll_out",295618,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6245,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
561,9.021 606 445,"main","syscall","Returns after 61.035 us",295620,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6263,5,1C 02 A2 01 02 
562,9.021 606 445,"main","syscall","name=uart_poll_out",295620,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6268,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
563,9.021 697 998,"main","syscall","Returns after 91.553 us",295623,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6286,5,1C 02 A2 01 03 
564,9.021 697 998,"main","syscall","name=uart_poll_out",295623,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6291,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
565,9.021 789 551,"main","syscall","Returns after 91.553 us",295626,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6309,5,1C 02 A2 01 03 
566,9.021 789 551,"main","syscall","name=uart_poll_out",295626,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6314,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
567,9.021 881 104,"main","syscall","Returns after 91.553 us",295629,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6332,5,1C 02 A2 01 03 
568,9.021 881 104,"main","syscall","name=uart_poll_out",295629,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6337,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
569,9.021 972 656,"main","syscall","Returns after 91.553 us",295632,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6355,5,1C 02 A2 01 03 
570,9.021 972 656,"main","syscall","name=uart_poll_out",295632,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6360,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
571,9.022 033 691,"main","syscall","Returns after 61.035 us",295634,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6378,5,1C 02 A2 01 02 
572,9.022 064 209,"main","syscall","name=uart_poll_out",295635,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,6383,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
573,9.022 125 244,"main","syscall","Returns after 61.035 us",295637,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,6401,5,1C 02 A2 01 02 
